CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;
09782X0024/F1;40017;AUDIGNON;40;AEAG;45;106;40017_FRFG091_FRFG081;409799,0063;6299215,262;;FG081;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;oui;;;;;;
09782X0006/P1;40017;AUDIGNON;40;AEAG;43;3;40017_FRFG091_FRFG081;410525,6;6299424,571;FG091;FG081;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;;
09516X0046/F;40020;AURICE;40;AEAG;68;;40020_FRFG070_FRFG046;412026,9772;6308307,432;;FG046;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09782X0010/SOURCE;40024;BANOS;40;AEAG;55;2.5;40024_FRFG080_FRFG091;409793,6903;6298797,263;;FG091;Hors RCS et RCO;;;;;;;oui;;;;;;;
09507X0036/F;40031;BEGAAR;40;AEAG;39;77.5;40031_FRFG084_FRFG046;390265,3121;6312930,056;;FG046;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09253X0019/F;40033;BELIS;40;AEAG;85;140;40033_FRFG070_FRFG046;422492,5952;6334259,056;;FG046;Hors RCS et RCO;;;;;;;oui;;;;;;;
09765X0075/F4;40036;BENESSE-MAREMNE;40;AEAG;5;41;40036_FRFG083_FRFG045;347180,4584;6291911,647;;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;;oui;;;;;;
09765X0054/F2;40036;BENESSE-MAREMNE;40;AEAG;11;45;40036_FRFG083_FRFG045;346673,8684;6290787,366;;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09247X0111/F;40040;BEYLONGUE;40;AEAG;71;;40040_FRFG084_FRFG046;389334,2217;6322037,485;FG084;FG046;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;oui;
09247X0085/F;40040;BEYLONGUE;40;AEAG;90;80;40040_FRFG084_FRFG046;390112,4138;6322716,795;;FG046;Hors RCS et RCO;;;;;;;oui;;;;;;;
