"ID","Autre_quantite-totale-2015","N minéral_quantite-totale-2015","N Organique_quantite-totale-2015","Toxique_quantite-totale-2015","Autre_quantite-totale-2016","N minéral_quantite-totale-2016","N Organique_quantite-totale-2016","Toxique_quantite-totale-2016","Autre_quantite-totale-2017","N minéral_quantite-totale-2017","N Organique_quantite-totale-2017","Toxique_quantite-totale-2017","Autre_quantite-totale-2018","N minéral_quantite-totale-2018","N Organique_quantite-totale-2018","Toxique_quantite-totale-2018"
"56140",2740.180072,96.215263,12770.739438,4161.334711,2114.000121,52.8825,10874.788504,3437.641172,2751.968863,60.708952,13369.842492,3060.314387,2504.915245,35.835,13702.514591,3360.2365
"56150",2313.474855,20.6045,8144.541222,2420.427327,2910.50255,19.98,7460.39431,2363.808081,2596.594783,18.578,7497.750875,1807.197461,5627.337654,2.6,9617.066863,2407.24969
"56160",5149.00014,46.776188,10299.47228,3583.371937,7027.795168,12.305638,11200.64589,3787.561088,6750.927303,27.660138,11463.534279,3271.967637,11325.168347,24.12,13206.480732,3686.807112
"56170",5.045,NA,27.8182,4.38,2.155,0.14,13.2911,0.15645,5.9733,NA,28.3511,0.93245,2.866178,NA,8.9042,0.355
"56190",1288.857544,93.601751,6620.115327,2093.981093,521.162235,27.180234,6764.623146,1624.421873,762.293541,66.639223,8056.414331,1179.587023,1193.851213,68.534764,7751.780347,1272.474242
"56200",526.600462,7.825,3196.590962,1330.087565,399.955755,0.3,3490.19824,956.707045,595.711084,0.28,4263.49792,991.7318,607.447765,16,4788.693855,976.17904
"56220",891.20112,42.425638,8142.860694,2587.984432,1001.792807,7.7,7637.828342,2224.895188,703.728822,30.818,7646.856298,1716.676901,1029.491143,31.51,7747.451366,1792.524258
"56230",1195.843524,114.764413,5712.632325,1785.070786,1146.223879,105.8525,5626.195136,1850.578976,1237.927264,82.9485,5438.080701,1147.860191,1061.643415,28.2,5149.496248,1149.90145
"56240",956.534113,63.98255,5522.355082,1654.259778,1171.334596,27.655,6025.152504,2023.731525,994.169847,29.08,5614.427539,1666.140545,1923.156115,71.28,6463.101079,1810.63224
"56250",1174.422762,101.040775,7278.295843,2868.488962,1374.235757,67.2725,6928.317319,2744.951589,1677.786458,120.47,7648.437451,2194.995904,2343.878416,170.625,8052.196915,2610.717806
"56260",0.60035,21.75,54.1015,4.20075,0.475,22.5,58.6555,6.44,1.53105,60,67.0195,4.5,0.7485,NA,44.697,0.679
"56270",119.62647,NA,1077.222046,279.42555,150.323681,NA,1132.40702,378.382095,109.862861,NA,868.6343,371.70995,161.745333,NA,1025.714532,439.9942
"56290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56300",13115.656687,84.36655,12967.219767,4902.487516,14234.724122,92.56,12751.816458,5486.759411,12892.232618,299.2935,12981.378946,5009.547067,19625.154946,223,16432.094012,7231.9398
"56310",3467.138042,15.432,8004.847716,2461.627315,3195.693696,15.22,7253.791105,2703.536595,3871.88683,14.665913,7904.639995,1853.895279,3746.507948,29.8,9113.378199,2435.066
"56320",705.124082,20.412551,5072.412329,1490.993435,449.788096,3.921276,4924.423145,1458.8626,435.093521,15.44,4369.310634,1052.145057,706.495772,19.98,4853.139271,1113.221308
"56330",638.057803,16.673188,4706.389491,1077.652734,410.334306,1.344638,4171.197691,1062.115615,769.440592,10.535,4421.87112,1031.230924,1255.196431,14.055,5194.979782,1275.78463
"56340",51.539912,1.08,545.749668,252.817638,56.7185,NA,389.02275,221.789588,146.15262,4,525.174332,132.41,122.75952,4.14,608.38844,151.7646
"56350",1529.217685,41.666275,5990.23953,1742.407388,1193.105268,1.9,5159.893284,1527.157455,1622.530411,42.577,6008.73073,1263.686556,1129.107881,40.625,6900.065491,1178.701594
"56360",153.325816,16.098063,411.276526,84.145443,133.792778,13.1925,500.899028,66.567295,138.090189,18.326,591.658312,58.672828,23.379562,3,477.964116,68.458
